

        *** EAGLE-TRT
        *** Telemetry Log File
        *** 12/15/2020, 18:12:54        

        *** Pilot: Mirco
        *** Race: Acceleration
        *** Circuit: Vadena        

(1608055974.381926) can0 202#909E000000000000
(1608055974.382290) can0 0B0#01025F0500000000
(1608055974.382635) can0 0C0#022DFD0000000000
(1608055974.382993) can0 201#9062000000000000
(1608055974.383350) can0 0B0#02640105F501006E
(1608055974.383682) can0 0C0#01138B1388138A32
(1608055974.383986) can0 202#909E000000000000
(1608055974.384355) can0 4EC#004AFFE400970000
(1608055974.384681) can0 0C0#0001900191019004
(1608055974.384991) can0 201#90C4000000000000
(1608055974.385382) can0 4ED#00040002FF9E0000
(1608055974.385707) can0 0D0#150309030900006B
(1608055974.386008) can0 202#903C000000000000
(1608055974.386333) can0 0D0#080000000000006B
(1608055974.386665) can0 201#90C4000000000000
(1608055974.387038) can0 0D0#0700000000000000
(1608055974.387409) can0 202#903C000000000000
(1608055974.387739) can0 4EC#0040FFE8009A0000
(1608055974.388061) can0 0D0#060000000000006B
(1608055974.388382) can0 201#90C4000000000000
(1608055974.388689) can0 4ED#00040003FF9E0000
(1608055974.388979) can0 202#903C000000000000
(1608055974.389256) can0 201#90C4000000000000
(1608055974.389573) can0 202#903C000000000000
(1608055974.389879) can0 201#90C4000000000000
(1608055974.390180) can0 4EC#0041FFE400990000
(1608055974.390501) can0 202#903C000000000000
(1608055974.391102) can0 4ED#00040003FF9E0000
(1608055974.391494) can0 181#4AFE4E02
(1608055974.391793) can0 182#A8000007
(1608055974.392094) can0 201#90C4000000000000
(1608055974.392514) can0 202#903C000000000000
(1608055974.393066) can0 181#A8FEFF07
(1608055974.393552) can0 201#90C4000000000000
(1608055974.394252) can0 4EC#003DFFEC00950000
(1608055974.394616) can0 202#903C000000000000
(1608055974.395484) can0 4ED#00040003FF9E0000
(1608055974.396265) can0 201#90C4000000000000
(1608055974.396639) can0 202#903C000000000000
(1608055974.397535) can0 201#90C4000000000000
(1608055974.398487) can0 202#903C000000000000
(1608055974.398831) can0 4EC#0039FFEA009A0000
(1608055974.399489) can0 0C0#022DA20000000000
(1608055974.399868) can0 201#90C4000000000000
(1608055974.400214) can0 4ED#00040002FF9E0000
(1608055974.400554) can0 0C0#0113881387138532
(1608055974.400859) can0 202#903C000000000000
(1608055974.401439) can0 0C0#0001900193018F04
(1608055974.401753) can0 201#90C4000000000000
(1608055974.402443) can0 0D0#150309030900006B
(1608055974.402774) can0 202#903C000000000000
(1608055974.403261) can0 4EC#0039FFED008C0000
(1608055974.403641) can0 0D0#080000000000006B
(1608055974.403963) can0 201#90C4000000000000
(1608055974.404319) can0 0B0#0102600500000000
(1608055974.404687) can0 4ED#00040003FF9E0000
(1608055974.405009) can0 0D0#0700000000000000
(1608055974.405374) can0 0B0#0264020503010060
(1608055974.405711) can0 202#903C000000000000
(1608055974.406014) can0 0D0#060000000000006B
(1608055974.406299) can0 201#90C4000000000000
(1608055974.406604) can0 202#903C000000000000
(1608055974.407611) can0 201#90C4000000000000
(1608055974.407949) can0 4EC#0044FFEF00880000
(1608055974.408526) can0 202#903C000000000000
(1608055974.408866) can0 4ED#00040002FF9E0000
(1608055974.409528) can0 201#90C4000000000000
(1608055974.410496) can0 202#903C000000000000
(1608055974.411609) can0 201#90C4000000000000
(1608055974.412117) can0 4EC#0049FFE9008E0000
(1608055974.412495) can0 202#903C000000000000
(1608055974.413332) can0 4ED#00040003FF9E0000
(1608055974.413672) can0 201#90C4000000000000
(1608055974.414510) can0 202#903C000000000000
(1608055974.414869) can0 0AA#0500070000
(1608055974.415308) can0 0AA#014208939DD29A3E
(1608055974.415657) can0 201#90C4000000000000
(1608055974.416535) can0 202#903C000000000000
(1608055974.416867) can0 4EC#0046FFE0008C0000
(1608055974.417568) can0 201#90C4000000000000
(1608055974.417909) can0 4ED#00040003FF9E0000
(1608055974.418509) can0 202#903C000000000000
(1608055974.419454) can0 0C0#022DD60000000000
(1608055974.419795) can0 201#90C4000000000000
(1608055974.420441) can0 0C0#0113881388138932
(1608055974.420799) can0 202#903C000000000000
(1608055974.421163) can0 4EC#0043FFE900970000
(1608055974.421520) can0 0C0#0001930191019104
(1608055974.421841) can0 201#90C4000000000000
(1608055974.422300) can0 4ED#00040002FF9E0000
(1608055974.422651) can0 0D0#150309030900006B
(1608055974.423028) can0 202#903C000000000000
(1608055974.423484) can0 0D0#080000000000006B
(1608055974.423815) can0 201#90C4000000000000
(1608055974.424459) can0 0D0#0700000000000000
(1608055974.424795) can0 202#903C000000000000
(1608055974.425118) can0 0FF#99003E4400000000
(1608055974.425484) can0 0D0#060000000000006B
(1608055974.425814) can0 201#90C4000000000000
(1608055974.426120) can0 4EC#0047FFE700950000
(1608055974.426566) can0 202#903C000000000000
(1608055974.426964) can0 4ED#00040002FF9E0000
(1608055974.427583) can0 201#90C4000000000000
